Abbas Poya
Medienwissenschaft
Medienwissenschaften und Kunstgeschichte
Medizininformatik, Biometrie und Epidemiologie
Medizinische Biotechnologie
Medizinische Mikrobiologie und Infektionsimmunologie
Menschenrechtspolitik
Methoden der empirischen Sozialforschung
Migrationsrecht und Menschenrechte
Mikrobiologie
Mikrobiologie und Infektionsimmunologie
Mikrobiomik
Mikroskopische Anatomie und Molekulare Bildgebung
Mineralogie
Mittelalterliche Geschichte
Modellierung von Immunprozessen
Modellierung von Selbstorganisationsprozessen
Modulation von Immunantworten
Molekulare Bildgebung und Radiochemie
Molekulare Gastroenterologie
Molekulare Nanostrukturen
Molekulare Neurologie
Molekulare Neuropathologie (Heisenberg-Professur)
Molekulare Pflanzenphysiologie
Molekulare Pneumologie
Molekulare Psychiatrie
Molekulare und Experimentelle Chirurgie
Molekulare und Klinische Pharmazie
Montagetechnologien elektrischer Energiespeicher
Mukosale Immuntherapie
Multimediakommunikation und Signalverarbeitung
Multimodale Bildgebung in der klinischen Forschung
Multiscale Simulation of Particulate Systems
Multiskalen-Modellierung für kontrollierte Filmbildung (HIERN)
Multiwellenlängenastronomie
Museumsforschung und Kulturgeschichte
Musikpädagogik und -didaktik
Nanomaterialcharakterisierung (Streumethoden)
Nanomedizin
Nanostructured Particles
Neonatologie
Nephropathologie
Neuere Bayerische und Fränkische Landesgeschichte und Volkskunde
Neuere deutsche Literatur mit komparatistischem Schwerpunkt
Neuere deutsche Literatur mit kulturwissenschaftlichem Schwerpunkt
Neuere deutsche Literatur mit systematischem Schwerpunkt
Neuere und Neueste Geschichte mit dem Schwerpunkt der Geschichte Osteuropas
Neues Testament
Neues Testament I (Theologie des Neuen Testaments)
Neues Testament II (Literatur und Geschichte des Urchristentums)
Neueste Geschichte und Zeitgeschichte
Neurale Epigenomik
Neurobildgebung Immunologischer und Metabolischer Prozesse
Neurobiologie
Neurochirurgie
Neuroimmunologie
Neurologie
Neuromuscular Physiology and Neural Interfacing
Neuronale Mechanik
Neuropathologie
Neuroradiologie
Neurowissenschaften der sensorischen Wahrnehmung (Stiftungsprofessur)
Numerische Simulation und Hochleistungsrechnen
Oberflächenaktive Proteine
Open Source Software
Optik
Optimization under Uncertainty & Data Analysis
Optische Quantentechnologien
Optoelektronik
Organische Chemie
Organische Chemie I
Organische Chemie II
Orientalische Philologie und Islamwissenschaft
Orthopädie und Orthopädische Chirurgie
Palliativmedizin
Paläontologie (Schwerpunkt Faziesanalyse)
Paläoumwelt
Partikelbasierte Materialchemie
Partikeltechnik
Personalmanagement und Arbeitsorganisation technologieorientierter Unternehmen
Pharmakologie und Toxikologie
Pharmazeutische Biologie
Pharmazeutische Chemie
Pharmazeutische Technologie und Biopharmazie
Philosophie
Phoniatrie und Pädaudiologie
Photonische Technologien
Physik
Physik der Kondensierten Materie
Physik, Geschäftsstelle
Physikalische Chemie
Physikalische Chemie I
Physikalische Chemie II
Physiologie
Physiologie (Vegetative Physiologie)
Physiologie und Pathophysiologie
Plastische Chirurgie und Handchirurgie
Plastische und Handchirurgie am Medizincampus Oberfranken
Politik und Gesellschaft des Nahen Ostens
Politik und Gesellschaft in Asien
Politische Theorie und Ideengeschichte
Politische Wissenschaft
Power-to-X-Technologien
Praktische Philosophie
Praktische Theologie
Praktische Theologie (Homiletik, Liturgik und Poimenik)
Praktische Theologie (Religions- und Gemeindepädagogik)
Psychiatrie und Psychotherapie
Psychogerontologie
Psychologie
Psychologie im Arbeitsleben
Psychologie, insbesondere Wirtschafts- und Sozialpsychologie
Psychologische Diagnostik, Methodenlehre und Rechtspsychologie
Psychosomatik und Psychotherapie
Pädagogik
Pädagogik mit Schwerpunkt Digitalisierung in Hochschul- und Erwachsenenbildung
Pädagogik mit dem Schwerpunkt Diversity Education und internationale Bildungsforschung
Pädagogik mit dem Schwerpunkt Kultur und ästhetische Bildung
Pädagogik mit dem Schwerpunkt Medienpädagogik
Pädagogik mit dem Schwerpunkt Organisationspädagogik
Pädagogische Psychologie und Exzellenzforschung
Quantitative Arbeitsökonomik
Radiologie am Medizincampus Oberfranken
Rechnergestützten Schaltungsentwurf
Rechnungslegung und Wirtschaftsprüfung
Rechtsmedizin
Rechtstheorie und Rechtsphilosophie
Regelungstechnik
Religionspädagogik und Didaktik des Evangelischen Religionsunterrichts
Religionswissenschaft und Interkulturelle Theologie
Ressourcen- und Energieeffiziente Produktionsmaschinen
Robotische Planung und Kognition in der Chirurgie
Romanistik
Romanistik, insbesondere Literatur- und Kulturwissenschaft
Romanistik, insbesondere Sprachwissenschaft
Romanistik, insbesondere italienische Literatur- und Kulturwissenschaft im europäischen Kontext
Röntgenspektroskopie (HIERN)
Schulpädagogik mit Schwerpunkt Digitalisierung im Unterricht
Schulpädagogik mit Schwerpunkt Educational Governance and Educational Change
Schulpädagogik mit dem Schwerpunkt Schulentwicklungsforschung und Experiential Learning
Schulpädagogik mit dem Schwerpunkt empirische Unterrichtsforschung
Science in Society
Science, Technology and Gender Studies
Semantische Audiosignalverarbeitung (AudioLabs)
Sensorische Neurotechnologie
Signalverarbeitung
Sinologie mit dem Schwerpunkt Geistes- und Kulturgeschichte Chinas (Alexander von Humboldt-Professur)
Smart Imaging and Data Profiling (Heisenberg-Professur)
Sozialpsychologie mit Schwerpunkt Gender und Diversity
Sozialwissenschaften und Philosophie
Soziologie
Soziologie mit Schwerpunkt transnationale Arbeit
Soziologie mit dem Schwerpunkt Soziologische Theorie
Soziologie mit dem Schwerpunkt Technik - Arbeit - Gesellschaft
Soziologie und Empirische Sozialforschung (Schwerpunkt Arbeitsmarktsoziologie)
Sportbiologie und Bewegungsmedizin
Sportpädagogik (Sportdidaktik)
Sportwissenschaft mit dem Schwerpunkt Bewegung und Gesundheit
Sportwissenschaft mit der Ausrichtung Gesundheitsförderung/Public Health/Sozialwissenschaften des Sports
Sportwissenschaft und Sport
Sportwissenschaft und Sport (GB Lehre)
Sprach- und Akustische Signalverarbeitung
Sprachen und Kulturen des Nahen Ostens und Ostasiens
Statistik und empirische Wirtschaftsforschung
Statistik und Ökonometrie
Steuerrecht
Stochastic Methods
Strafrecht, Strafprozessrecht und Rechtsphilosophie
Strafrecht, Strafprozessrecht, Internationales Strafrecht und Völkerrecht
Strafrecht, Strafprozessrecht, Wirtschafts- und Medizinstrafrecht
Strahlentherapie
Strukturmechanik
Strömungsmechanik
Suchtmedizin
Sustainability Transition Policy
System-Paläobiologie
System-on-Chip
Systematische Theologie I (Dogmatik)
Systematische Theologie II (Ethik)
Systembiotechnologie
Systemische Neurophysiologie
T-Zell-Immunologie (Heisenberg-Professur)
Technische Dynamik
Technische Elektronik
Technische Mechanik
Technische Thermodynamik
Technologiemanagement
Tektonik
Theater- und Medienwissenschaft
Theaterwissenschaft
Theaterwissenschaft mit Schwerpunkt Performance und Gegenwartstheater
Theoretische Chemie
Theoretische Festkörperphysik
Theoretische Philosophie
Theoretische Physik
Theoretische Physik mit dem Schwerpunkt Molekulare Materialien
Theory and Ethics of Artificial Intelligence (Alexander von Humboldt-Professur)
Thermische Verfahrenstechnik
Thoraxchirurgie
Tierphysiologie
Transfusionsmedizin und Cell-Engineering
Translationale Anästhesiologie und Intensivmedizin
Translationale Frauenheilkunde und Geburtshilfe
Translationale Immundermatologie
Translationale Immunforschung bei chronisch entzündlichen Darmerkrankungen
Translationale Immunologie
Translationale Immunpathologie (Else Kröner Clinician Scientist Professur)
Translationale Neurowissenschaften
Tumorimmunologie (Schwerpunkt Systembiologie)
Unfallchirurgie und Orthopädie
Unternehmensführung
Ur- und Frühgeschichte
Urologie
Urologie am Medizincampus Oberfranken
Vergleichende Indogermanische Sprachwissenschaft
Vergleichende Politikwissenschaft und Europäisches Regieren
Versicherungswirtschaft und Risikomanagement
Virologie
Visual Computing
Volkswirtschaftslehre
Volkswirtschaftslehre mit dem Schwerpunkt Entwicklungsökonomik
Volkswirtschaftslehre, insbesondere Arbeitsmarkt- und Regionalpolitik
Volkswirtschaftslehre, insbesondere Empirische Mikroökonomie (Stiftungslehrstuhl)
Volkswirtschaftslehre, insbesondere Finanzwissenschaft
Volkswirtschaftslehre, insbesondere Makroökonomik
Volkswirtschaftslehre, insbesondere Sozialpolitik
Volkswirtschaftslehre, insbesondere Wirtschaftspolitik
Volkswirtschaftslehre, insbesondere Wirtschaftstheorie
Volkswirtschaftslehre: Wirtschaft und Gesellschaft des Nahen Ostens
Wahrnehmungspsychologie
Werkstoffsimulation
Werkstoffwissenschaften
Werkstoffwissenschaften (Allgemeine Werkstoffeigenschaften)
Werkstoffwissenschaften (Biomaterialien)
Werkstoffwissenschaften (Computational Materials Microscopy)
Werkstoffwissenschaften (Glas und Keramik)
Werkstoffwissenschaften (Korrosion und Oberflächentechnik)
Werkstoffwissenschaften (Materialien der Elektronik und der Energietechnologie)
Werkstoffwissenschaften (Mikro- und Nanostrukturforschung)
Werkstoffwissenschaften (Polymerwerkstoffe)
Werkstoffwissenschaften (Werkstoffe der Elektrotechnik)
Werkstoffwissenschaften (Werkstoffkunde und Technologie der Metalle)
Werkstoffwissenschaften (lösungsprozessierte Halbleitermaterialien)
Wirtschaftsinformatik, insbesondere Digitalisierung in Wirtschaft und Gesellschaft (Stiftungslehrstuhl)
Wirtschaftsinformatik, insbesondere IT-Management
Wirtschaftsinformatik, insbesondere Innovation und Wertschöpfung
Wirtschaftsinformatik, insbesondere Technische Informationssysteme
Wirtschaftsinformatik, insbesondere im Dienstleistungsbereich
Wirtschaftsprivatrecht
Wirtschaftspädagogik
Wirtschaftspädagogik und Personalentwicklung
Wirtschaftswissenschaft
Wissenschaftliches Rechnen
Wissensrepräsentation und -verarbeitung
Zahn-, Mund- und Kieferheilkunde, insbesondere Kieferorthopädie
Zahn-, Mund- und Kieferheilkunde, insbesondere zahnärztliche Prothetik
Zahn-,Mund- und Kieferheilkunde, insbesondere Fächergruppe Zahnerhaltung
Zahnmedizin, insbesondere Mund-, Kiefer-, und Gesichtschirurgie
Zellbiologie
Zellbiologie der Pflanzen
Zellplastizität am Tumor-Host-Interface
Zelluläre Morphogenese
Zelluläre Optomechanik
Zelluläre und Molekulare Neurophysiologie
Zelluläre und Molekulare Physiologie
Zuverlässige Schaltungen und Systeme
betriebliche Arbeitsmarkt- und Berufsforschung
die Zeitgeschichte Chinas
evolutionäres Datenmanagement
metabolische und funktionelle MR-Bildgebung
qualitative Methoden der empirischen Sozialforschung
quantitative MR-Bildgebung
seltene Nierenerkrankungen
und Poliklinik für Arbeits-, Sozial- und Umweltmedizin
Ältere deutsche Literatur
Öffentliches Recht und Europarecht
Öffentliches Recht und Rechtsphilosophie
Öffentliches Recht und Völkerrecht
Öffentliches Recht, Völkerrecht und Menschenrechte
